Title,Description,Priority,Status,Labels
DECISION BLOCKER — Final Video Source,"Backlog ID: DECISION BLOCKER | Queue: NEXT | Owner: Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Choose final production source for intro video. | Acceptance: Thurr selects Remotion-only, Runway-polished, or recorded-voice workflow. | Dependencies: None.",High,Blocked,codex-backlog;decision-blocker;next;blocked
DECISION BLOCKER — Voice Usage Approval,Backlog ID: DECISION BLOCKER | Queue: NEXT | Owner: Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Confirm whether Thurr’s real voice will be used and where voice samples are stored. | Acceptance: Written approval and source audio location provided. | Dependencies: DECISION BLOCKER — Final Video Source.,High,Blocked,codex-backlog;decision-blocker;next;blocked
AUD-001 — Build /audit Page With Intake Form,Backlog ID: AUD-001 | Queue: NOW | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Add a public Lead Flow Audit page with a focused intake form. | Acceptance: /audit route renders; form validates required fields; consent checkbox required; submission path works against configured endpoint or safe stub; /audit/thanks route exists; npm run build passes. | Dependencies: AUD-002.,Urgent,Done,codex-backlog;aud;now
AUD-002 — Add Supabase Audit Requests Migration,Backlog ID: AUD-002 | Queue: NOW | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Create schema for storing Lead Flow Audit requests. | Dependencies: SEC-001.,Urgent,Done,codex-backlog;aud;now
AUD-003 — Add Owner Alert Hook For Audit Requests,Backlog ID: AUD-003 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Trigger an owner alert when a Lead Flow Audit request arrives. | Acceptance: Endpoint reads alert destination from env vars; failure logs safely; docs list required env vars; npm run build passes. | Dependencies: AUD-001; DECISION BLOCKER — Audit Alert Destination.,High,Done,codex-backlog;aud;next
AUD-004 — Build /audit/thanks Confirmation Page,Backlog ID: AUD-004 | Queue: NOW | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Add post-submit page that tells prospects what happens next. | Acceptance: /audit/thanks renders; form redirects there after success; CTA lets user return home or book if booking link is configured; npm run build passes. | Dependencies: AUD-001.,Urgent,Done,codex-backlog;aud;now
DECISION BLOCKER — Audit Alert Destination,"Backlog ID: DECISION BLOCKER | Queue: NOW | Owner: Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Confirm whether new audit requests alert through Discord, email, n8n, or multiple destinations. | Acceptance: Destination and env var names confirmed. | Dependencies: None.",Urgent,Blocked,codex-backlog;decision-blocker;now;blocked
DECISION BLOCKER — Audit Payment / Booking Flow,"Backlog ID: DECISION BLOCKER | Queue: NOW | Owner: Claude/Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Decide whether /audit CTA collects form first, books call first, or takes payment first. | Acceptance: Thurr selects form-first, calendar-first, or payment-first. | Dependencies: None.",Urgent,Blocked,codex-backlog;decision-blocker;now;blocked
NOT-001 — Create Operations Index Doc In Repo,Backlog ID: NOT-001 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Maintain a local index of the Notion operating system with direct links. | Dependencies: None.,High,Done,codex-backlog;not;next
NOT-002 — Add Audit Request Tracking Spec For Notion,Backlog ID: NOT-002 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Specify how audit requests should become Notion records/tasks. | Dependencies: AUD-002.,High,Done,codex-backlog;not;next
NOT-003 — Create Client Fulfillment Battle Plan Template Spec,Backlog ID: NOT-003 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Define the Notion template generated after onboarding. | Acceptance: Template can be copied into Notion manually or used by n8n later; includes client-facing vs internal-only sections; no private data. | Dependencies: None.,High,Done,codex-backlog;not;next
DECISION BLOCKER — Notion API Write Access,Backlog ID: DECISION BLOCKER | Queue: NEXT | Owner: Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Confirm whether Codex should use Notion API to seed/update databases or only produce local specs. | Dependencies: None.,High,Blocked,codex-backlog;decision-blocker;next;blocked
DECISION BLOCKER — Client Portal Access Policy,"Backlog ID: DECISION BLOCKER | Queue: NEXT | Owner: Claude/Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Decide what clients can see in Notion. | Acceptance: Thurr selects internal-only, per-client view-only page, or client portal later. | Dependencies: NOT-003.",High,Blocked,codex-backlog;decision-blocker;next;blocked
LIN-001 — Create Linear Ticket Template Library In Repo,"Backlog ID: LIN-001 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Document reusable Linear templates for the common Thurr Solutions work types. | Acceptance: Template library uses consistent fields: goal, inputs, do not, acceptance, owner, due date, links; can be pasted into Linear. | Dependencies: None.",High,Done,codex-backlog;lin;next
LIN-002 — Create Linear Seed Script Or Manual Import File,Backlog ID: LIN-002 | Queue: LATER | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Make the backlog importable into Linear if API access exists. | Dependencies: LIN-001; DECISION BLOCKER — Linear API Write Access.,Medium,Done,codex-backlog;lin;later
DECISION BLOCKER — Linear API Write Access,Backlog ID: DECISION BLOCKER | Queue: NEXT | Owner: Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Confirm whether Codex should create/update Linear issues directly. | Dependencies: None.,High,Blocked,codex-backlog;decision-blocker;next;blocked
DECISION BLOCKER — Linear Project Structure,"Backlog ID: DECISION BLOCKER | Queue: NEXT | Owner: Claude/Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Confirm whether each client gets a Linear project, with Notion remaining source of truth. | Acceptance: Thurr confirms project-per-client policy. | Dependencies: None.",High,Blocked,codex-backlog;decision-blocker;next;blocked
AGT-001 — Add Agent Operating Manual To Website Repo,"Backlog ID: AGT-001 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Document which agent handles which operating area. | Acceptance: Manual includes purpose, trigger phrases, allowed actions, prohibited actions, outputs, and source-of-truth links. | Dependencies: Existing agent specs in /Users/thurr/Documents/New project/docs/project/ops-agent-specs.",High,Done,codex-backlog;agt;next
AGT-002 — Sync Agent Specs To Thurnos Memory,Backlog ID: AGT-002 | Queue: LATER | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Copy or update approved agent specs into Thurnos memory so local agents can reference them. | Acceptance: Thurnos memory has current specs for each approved agent; update note added; git diff only touches intended memory files. | Dependencies: AGT-001.,Medium,Done,codex-backlog;agt;later
DECISION BLOCKER — Agent Automation Permissions,Backlog ID: DECISION BLOCKER | Queue: NEXT | Owner: Claude/Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Decide which agents can only draft versus which can execute. | Acceptance: Thurr approves permission matrix. | Dependencies: AGT-001.,High,Blocked,codex-backlog;decision-blocker;next;blocked
DECISION BLOCKER — Agent Trigger Phrase Library,Backlog ID: DECISION BLOCKER | Queue: LATER | Owner: Claude/Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Lock phrases Thurr can remember when he forgets exact commands. | Acceptance: Trigger list approved and added to Agent Operating Manual. | Dependencies: AGT-001.,Medium,Blocked,codex-backlog;decision-blocker;later;blocked
CLT-001 — Create Client Pipeline Index,"Backlog ID: CLT-001 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Add a concise pipeline map tying prospects to offers, status, next action, and source links. | Acceptance: Index has client/prospect, status, offer, next action, risk flag, direct Notion/doc links; sensitive data omitted. | Dependencies: Existing docs in /Users/thurr/Documents/New project/docs/sales.",High,Done,codex-backlog;clt;next
CLT-002 — Update HeartPathBloom Internal Build Status,"Backlog ID: CLT-002 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Correct HeartPathBloom status to signed and deposit received May 1, 2026. | Acceptance: Internal docs reflect corrected date/status; reviewer decision is a blocker; no public exposure. | Dependencies: CLT-001.",Urgent,Done,codex-backlog;clt;next
CLT-003 — Add Restore Residential Close System Brief Link,Backlog ID: CLT-003 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Make Restore’s upsell/presentation asset easy to find. | Acceptance: Pipeline index links Restore upsell doc and lists next action: collect sales workflow details. | Dependencies: CLT-001.,High,Done,codex-backlog;clt;next
CLT-004 — Add Andy Lead Flow Audit Brief Link,"Backlog ID: CLT-004 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Make Andy’s insurance lead system pitch easy to find and keep it in the audit flow. | Acceptance: Pipeline index links Andy doc and lists intake gates: licensed states, lead sources, follow-up, CRM, compliance reviewer. | Dependencies: CLT-001.",High,Done,codex-backlog;clt;next
CLT-005 — Add Christy Corrected Status,Backlog ID: CLT-005 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Correct Christy/Sweetest Pea internal status and offer. | Acceptance: Pipeline index reflects accurate status and next follow-up. | Dependencies: CLT-001.,High,Done,codex-backlog;clt;next
DECISION BLOCKER — HeartPathBloom Named Reviewer,Backlog ID: DECISION BLOCKER | Queue: NOW | Owner: Thurr/client | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Lock the named human reviewer for crisis escalations. | Acceptance: Tisa/Kendalyn provide named adult reviewer and contact method. | Dependencies: None.,Urgent,Blocked,codex-backlog;decision-blocker;now;blocked
DECISION BLOCKER — HeartPathBloom Phase 1 Screen List,Backlog ID: DECISION BLOCKER | Queue: NOW | Owner: Claude/Thurr/client | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Lock exact screens for Phase 1 before coding sprint. | Acceptance: Screen list approved. | Dependencies: HeartPathBloom named reviewer.,Urgent,Blocked,codex-backlog;decision-blocker;now;blocked
DECISION BLOCKER — Restore Workflow Answers,Backlog ID: DECISION BLOCKER | Queue: NEXT | Owner: Thurr/Restore | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Get Restore’s residential sales process details before building presentation/app demo. | Acceptance: Restore answers captured in Notion or sales doc. | Dependencies: None.,High,Blocked,codex-backlog;decision-blocker;next;blocked
DECISION BLOCKER — Andy Intake Answers,"Backlog ID: DECISION BLOCKER | Queue: NEXT | Owner: Thurr/Andy | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Get Andy’s licensed states, lead sources, CRM, calendar, and compliance reviewer. | Acceptance: Answers added to Andy sales doc. | Dependencies: None.",High,Blocked,codex-backlog;decision-blocker;next;blocked
DECISION BLOCKER — 5 Star Hospice Presentation Scope,Backlog ID: DECISION BLOCKER | Queue: LATER | Owner: Claude/Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Decide whether 5 Star Hospice receives a light interest deck or full intake/triage proposal. | Acceptance: Scope and compliance lane approved. | Dependencies: None.,Medium,Blocked,codex-backlog;decision-blocker;later;blocked
DECISION BLOCKER — Right Thurr Website Status,Backlog ID: DECISION BLOCKER | Queue: NEXT | Owner: Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Keep Thurr Solutions as the B2B public site while Right Thurr Free Game prelaunch is documented and tested before any separate website/store build. | Acceptance: Any future `/right-thurr` route or rightthurr.com launch uses the Free Game prelaunch positioning and stays separate from the Thurr Solutions homepage. | Dependencies: None.,High,Blocked,codex-backlog;decision-blocker;next;blocked
RT-001 — Launch Right Thurr Free Game Prelaunch,"Backlog ID: RT-001 | Queue: NOW | Owner: Claude/Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Run a 30-day Thurr-led Free Game content test for ambitious operators before commerce or paid community. | Acceptance: 30-day content calendar exists; waitlist copy exists; success metrics are 30 posts/drafts, 10+ useful conversations, 25+ warm interest-list entries, and 3 repeat themes. | Dependencies: Right Thurr website status.",High,Blocked,codex-backlog;rt;now;blocked
RT-002 — Approve Right Thurr Public Phrase Bank,"Backlog ID: RT-002 | Queue: NEXT | Owner: Claude/Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Review and approve the draft phrase bank before public posting, profile copy, or merch. | Acceptance: Thurr marks phrases as approved, test-only, or rejected for public use. | Dependencies: None.",Medium,Blocked,codex-backlog;rt;next;blocked
RT-003 — Seed Free Game Circle Interest List,Backlog ID: RT-003 | Queue: LATER | Owner: Claude/Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Goal: Collect lightweight community interest without launching a paid or high-touch group. | Acceptance: Interest form copy exists; response tags exist; paid/high-touch community remains delayed until proof signals are met. | Dependencies: None.,Medium,Blocked,codex-backlog;rt;later;blocked
SEC-001 — Local Environment Hygiene Audit,Backlog ID: SEC-001 | Queue: NOW | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Dependencies: None.,Urgent,Done,codex-backlog;sec;now
SEC-002 — Add Credential Rotation Runbook,"Backlog ID: SEC-002 | Queue: NOW | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Acceptance: Runbook has checklist, platform links/placeholders, verification steps, and owner; links Notion checklist and Linear task. | Dependencies: SEC-001.",Urgent,Done,codex-backlog;sec;now
SEC-003 — Add Public Data Redaction Checklist,"Backlog ID: SEC-003 | Queue: NOW | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Prevent accidental private note content from reaching public channels. | Acceptance: Checklist covers website, LinkedIn, Upwork, GitHub, Notion public pages, client decks, screenshots, and video; no sensitive values included. | Dependencies: None.",Urgent,Done,codex-backlog;sec;now
SEC-004 — Add Client Data Boundary Doc,"Backlog ID: SEC-004 | Queue: NEXT | Owner: Codex | Status: Done | Source: docs/project/Codex-Ready-Backlog.md | Goal: Define what can and cannot be stored for regulated or sensitive clients. | Acceptance: Doc lists allowed metadata, prohibited data, approval gates, and escalation reviewer requirements; no private data included. | Dependencies: None.",High,Done,codex-backlog;sec;next
DECISION BLOCKER — Secret Manager / Password Vault Policy,Backlog ID: DECISION BLOCKER | Queue: NOW | Owner: Thurr | Status: Blocked | Source: docs/project/Codex-Ready-Backlog.md | Acceptance: Thurr confirms vault/tool and migration rule. | Dependencies: SEC-001.,Urgent,Blocked,codex-backlog;decision-blocker;now;blocked
